,Home Team,Scores,Away Team
0,Burton Albion,2 1,Cambridge United
1,Athletic Club Femenino,3 0,Sporting de Huelva Femenino
2,Valencia Femenino,1 1,Levante Las Planas Femenino
3,TSG Hoffenheim Women,2 2,Bayer 04 Leverkusen Ladies
4,Carshalton Athletic,0 3,Canvey Island
5,Brighton and Hove Albion,2 2,Liverpool
6,West Ham United,2 2,Newcastle United
7,Wolverhampton Wanderers,1 1,Aston Villa
8,Arsenal,1 0,Manchester City
9,Brighton and Hove Albion Women,0 2,West Ham United Women
10,Manchester City Women,1 1,Chelsea Women
11,Tottenham Hotspur Women,3 1,Bristol City Women
12,Leicester City Women,1 0,Everton Women
13,Liverpool Women,2 0,Aston Villa Women
14,St Mirren,0 3,Rangers
15,Aberdeen,0 0,St. Johnstone
16,Glasgow City,3 0,Spartans Women
17,Montrose Women,3 3,Hearts Women
18,Celtic Women,6 0,Motherwell Women
19,Dundee United Women,3 2,Aberdeen Women
20,Hibernian Women,0 2,Partick Thistle Women
21,Hamilton Academical Women,0 6,Rangers Women
22,Bayer Leverkusen,3 0,Cologne
23,Bayern Munich,3 0,SC Freiburg
24,Eintracht Frankfurt,2 0,1. FC Heidenheim 1846
25,Villarreal,1 2,Las Palmas
26,Atletico Madrid,2 1,Real Sociedad
27,Alaves,1 1,Real Betis
28,Celta Vigo,2 2,Getafe
29,Granada,2 2,Barcelona
30,Monza,3 0,Salernitana
31,Frosinone,2 1,Verona
32,Lazio,3 2,Atalanta
33,Cagliari,1 4,Roma
34,Napoli,1 3,Fiorentina
35,Marseille,3 0,Le Havre
36,Brest,1 1,Toulouse
37,Lyon,3 3,Lorient
38,RC Lens,1 1,Lille
39,Rennes,1 3,Paris Saint-Germain
40,Charlton Athletic Women,1 1,Durham Women
41,Reading Women,1 0,Lewes Women
42,Birmingham City Women,1 1,Sunderland Ladies
43,Blackburn Rovers Ladies,0 4,Crystal Palace Women
44,Watford FC Women,0 2,Southampton Women
45,Burnley Ladies,4 1,Stourbridge Ladies
46,Fylde Ladies,2 2,West Bromwich Albion WFC
47,Liverpool Marshall Feds LFC,0 4,Newcastle United Ladies
48,Nottingham Forest Ladies,1 2,Derby County Ladies
49,Wolverhampton Wanderers Ladies,4 0,Huddersfield Town Ladies
50,London Bees,0 4,Cardiff City Ladies
51,Oxford United Women,2 1,Ipswich Town Ladies
52,Portsmouth Ladies,7 0,Billericay Town Ladies
53,Hashtag United Women,1 2,MK Dons Ladies
54,PEC Zwolle,0 2,Feyenoord
55,Ajax,1 2,AZ Alkmaar
56,Fortuna Sittard,0 3,FC Twente
57,Sparta Rotterdam,0 4,PSV Eindhoven
58,Eibar Femenino,0 1,Granadilla Tenerife Femenino
59,Real Betis Féminas,0 4,Levante Femenino
60,Madrid CF Femenino,1 0,Granada Femenino
61,FC Barcelona Women,3 0,Real Sociedad Femenino
62,Olympiques Lyon Women,4 0,Bordeaux Féminines
63,IFK Mariehamn,0 0,FC Lahti
64,KuPS Kuopio,3 1,Honka
65,VPS,3 2,HJK Helsinki
66,Firenze Femminile,2 0,Napoli Femminile
67,Sassuolo Femminile,1 2,Internazionale Femminile
68,Eintracht Braunschweig,1 3,SC Paderborn 07
69,Holstein Kiel,1 1,SV 07 Elversberg
70,Schalke,1 2,Hertha Berlin
71,Como,1 3,Cremonese
72,Spezia,0 0,Pisa
73,Atlanta United FC,1 1,Columbus Crew
74,CF Montréal,4 1,Portland Timbers
75,D.C. United,2 0,New York City FC
76,Inter Miami CF,0 1,FC Cincinnati
77,New York Red Bulls,3 0,Toronto FC
78,Orlando City SC,3 2,New England Revolution
79,Philadelphia Union,0 0,Nashville SC
80,Austin FC,2 4,Los Angeles Football Club
81,Chicago Fire,0 2,Charlotte FC
82,FC Dallas,1 1,San Jose Earthquakes
83,Houston Dynamo,5 1,Colorado Rapids
84,Minnesota United FC,5 2,Los Angeles Galaxy
85,Real Salt Lake,2 3,Sporting Kansas City
86,Seattle Sounders FC,0 0,Vancouver Whitecaps
87,Fehervar FC,3 0,MTK Budapest
88,Ferencvaros,2 2,Debreceni Vasutas Sport Club
89,Linz ASK,1 0,Altach
90,RZ Pellets WAC,1 2,Sturm Graz
91,SK Austria Klagenfurt,2 2,Red Bull Salzburg
92,Slask Wroclaw,1 1,Gornik Zabrze
93,Cracovia,2 4,Jagiellonia Bialystok
94,Legia Warsaw,1 2,Raków Czestochowa
95,Brommapojkarna,0 3,IF Elfsborg
96,Kalmar FF,1 0,Malmo FF
97,Hammarby IF,2 2,Hacken
98,Varbergs BoIS,0 1,Djurgardens IF
99,SGS Essen,0 2,FC Bayern München Women
100,SC Freiburg Ladies,2 1,SV Werder Bremen Ladies
101,Haugesund,1 0,Stromsgodset
102,Molde,1 3,Bodo/Glimt
103,Sandefjord,0 1,HamKam
104,Sarpsborg,5 2,Rosenborg
105,Stabaek,1 0,Lillestrom
106,Tromso,1 2,Aalesund
107,Valerenga,1 2,Brann
108,FC Nordsjaelland,0 1,OB Odense
109,Vejle BK,3 1,Hvidovre IF
110,Brondby,1 0,Viborg FF
111,FC Midtjylland,2 2,Randers FC
112,AGF Aarhus,1 1,FC Copenhagen
113,AEK Athens,3 0,Panetolikos
114,Panathinaikos,5 0,Atromitos Athens
115,Standard Liege,2 1,Club Brugge
116,Antwerp,4 1,KAS Eupen
117,AA Gent,1 1,Genk
118,Sint-Truidense VV,0 4,Union Saint-Gilloise
119,Casa Pia AC,0 1,Estrela
120,FC Famalicao,1 3,Vitoria de Guimaraes
121,FC Porto,1 0,Portimonense
122,Sporting Lisbon,2 1,Arouca
123,Luton Town,0 1,Tottenham Hotspur
124,Burnley,1 4,Chelsea
125,Everton,3 0,Bournemouth
126,Fulham,3 1,Sheffield United
127,Manchester United,2 1,Brentford
128,Crystal Palace,0 0,Nottingham Forest
129,Sunderland,0 4,Middlesbrough
130,Cardiff City,1 1,Watford
131,Coventry City,1 1,Norwich City
132,Ipswich Town,4 2,Preston North End
133,Leeds United,2 1,Bristol City
134,Leicester City,2 0,Stoke City
135,Millwall,2 2,Hull City
136,Plymouth Argyle,1 3,Swansea City
137,Queens Park Rangers,0 4,Blackburn Rovers
138,Sheffield Wednesday,0 0,Huddersfield Town
139,Southampton,1 1,Rotherham United
140,Oxford United,2 1,Bristol Rovers
141,Bolton Wanderers,1 3,Carlisle United
142,Charlton Athletic,2 2,Blackpool
143,Cheltenham Town,1 1,Derby County
144,Exeter City,0 1,Barnsley
145,Fleetwood Town,1 4,Wycombe Wanderers
146,Leyton Orient,2 1,Reading
147,Peterborough United,2 0,Lincoln City
148,Portsmouth,2 0,Port Vale
149,Shrewsbury Town,1 0,Northampton Town
150,Stevenage,1 0,Wigan Athletic
151,Accrington Stanley,2 1,Forest Green Rovers
152,Barrow,1 1,Notts County
153,Bradford City,1 0,Swindon Town
154,Colchester United,1 3,Morecambe
155,Crawley Town,0 1,Wrexham
156,Gillingham,2 1,Milton Keynes Dons
157,Mansfield Town,0 0,AFC Wimbledon
158,Newport County AFC,1 2,Harrogate Town
159,Salford City,4 2,Crewe Alexandra
160,Stockport County,1 0,Doncaster Rovers
161,Sutton United,4 0,Walsall
162,Tranmere Rovers,2 2,Grimsby Town
163,Celtic,3 1,Kilmarnock
164,Hearts,2 2,Hibernian
165,Livingston,2 0,Motherwell
166,Airdrieonians,1 2,Ayr United
167,Inverness CT,0 0,Partick Thistle
168,Queen's Park,0 0,Morton
169,Raith Rovers,1 1,Dundee United
170,Cove Rangers,3 2,Annan Athletic
171,Edinburgh City,1 4,Kelty Hearts
172,Montrose,2 1,Alloa Athletic
173,Queen Of The South,0 1,Stirling Albion
174,Falkirk,0 0,Hamilton Academical
175,Clyde,0 4,Dumbarton
176,Forfar Athletic,1 3,Peterhead
177,Stranraer,3 4,Spartans
178,Boreham Wood,0 2,Chesterfield
179,Ebbsfleet United,0 2,FC Halifax
180,Gateshead,0 2,Altrincham
181,Hartlepool United,3 1,Eastleigh
182,Kidderminster Harriers,1 0,Wealdstone
183,Maidenhead United,2 2,Rochdale
184,Oldham Athletic,1 1,Dagenham & Redbridge
185,Oxford City,3 0,AFC Fylde
186,Solihull Moors,0 1,Aldershot Town
187,Woking,0 2,Southend United
188,York City,2 2,Bromley
189,Dorking Wanderers,2 3,Barnet
190,Borussia Dortmund,4 2,1. FC Union Berlin
191,FC Augsburg,1 2,SV Darmstadt 98
192,RB Leipzig,0 0,Bochum
193,Stuttgart,3 1,Wolfsburg
194,Werder Bremen,2 3,Hoffenheim
195,Cadiz,0 1,Girona
196,Real Madrid,4 0,Osasuna
197,Real Mallorca,1 1,Valencia
198,Sevilla,2 2,Rayo Vallecano
199,Inter Milan,2 2,Bologna
